"Lebanon" "33.8750629" "35.843409"
"Saint Lucia" "13.8250489" "-60.9750359"
"Liechtenstein" "47.1416307" "9.5531527"
"Sri Lanka" "7.878" "80.7038245875"
"Liberia" "5.7499721" "-9.3658523"
"Lesotho" "-29.6039266" "28.3350193"
"Lithuania" "55.3500003" "23.7499998"
"Luxembourg" "49.8158683" "6.1296751"
"Latvia" "56.8666904" "24.5999717"
"Libya" "26.8234472" "18.1236723"
"Morocco" "31.1728192" "-7.3366042"
"Monaco" "43.7311424" "7.4197576"
"Moldova" "47.286747" "28.5110236"
"Montenegro" "43.0285558" "19.291739"
"Saint-Martin (France)" "18.0814066" "-63.046713"
"Madagascar" "-18.9249603" "46.4416422"
"Marshall Islands" "6.9518742" "170.9985095"
"Macedonia" "41.6171214" "21.7168387"
"Mali" "16.3700359" "-2.2900238"
"Myanmar" "17.1750495" "95.9999652"
"Mongolia" "46.8250388" "103.8499736"
"Macau" "22.1899448" "113.5380454"
"Northern Mariana Islands" "14.1490205" "145.213452483189"
"Martinique" "14.6113732" "-60.9620776"
"Mauritania" "20.2540382" "-9.2399262"
"Montserrat" "16.7417041" "-62.1916843"
"Malta" "27.5015719" "85.2451666"
"Mauritius" "-20.275945" "57.5703566"
"Maldives" "4.2218417" "73.4867968"
"Malawi" "-13.2687203" "33.9301963"
"Mexico" "19.4325301" "-99.1332101"
"Malaysia" "2.3923759" "112.8471939"
"Mozambique" "-19.3022329" "34.9144977"
"Namibia" "-23.2335498" "17.3231107"
"New Caledonia" "-21.3019904" "165.4880773"
"Niger" "17.7356214" "9.3238432"
"Norfolk Island" "-29.0328037" "167.9483137"
"Nigeria" "9.6000359" "7.9999721"
"Nicaragua" "12.3724928" "-84.8700307"
"The Netherlands" "52.2379891" "5.53460738161551"
"Norway" "60.5000209" "9.0999715"
"Nepal" "28.1082107" "84.0917515"
"Nauru" "-0.5249623" "166.9333009"
"Niue" "-19.0536413" "-169.861341"
"New Zealand" "-41.500083" "172.8344077"
"Oman" "21.0000287" "57.0036901"
"Panama" "8.3096067" "-81.3066245"
"Peru" "-6.8699696" "-75.0458514"
"French Polynesia" "-16.36534505" "-145.14410982521"
"Papua New Guinea" "-5.6816068" "144.2489081"
"Philippines" "12.7503486" "122.7312101"
"Pakistan" "30.3308401" "71.247499"
"Poland" "52.0977181" "19.0258159"
